"Qty";"Value";"Device";"Package";"Parts";"Description";"CENTROID_NOT_SPECIFIED";"DATASHEET";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"LEAD_FREE";"MANUFACTURER";"MF";"MFG_PACKAGE_IDENT";"MOUSER_PART_NUMBER";"MPN";"PACKAGE";"PART_REV";"PREFIX";"PROD_ID";"ROHS";"SF_SKU";"SPICEMODEL";"SPICEPREFIX";"STANDARD";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VALUE";"VOLTAGE";
"1";"6.8uH";"INDUCTORTDK_VLC5045";"INDUCTOR_5X5MM_TDK_VLC5045";"L1";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"68";"R-US_M0805";"M0805";"R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"68nF";"C-USC0805";"C0805";"C8";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"74LS00D";"74LS00D";"SO14";"IC1";"Quad 2-input NAND gate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"75";"R-US_M0805";"M0805";"R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"AUD";"WIREPAD2,54/1,1";"2,54/1,1";"AUD";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BLUE";"ADAFRUIT_LEDCHIPLED_0603";"ADAFRUIT_CHIPLED_0603";"ON";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"COLOR/BW";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"JP1";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CVID";"WIREPAD2,54/1,1";"2,54/1,1";"CVID";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"E-SWITCH_JS5208E-SWITCH_JS5208_0_0";"E-SWITCH_JS5208E-SWITCH_JS5208_0_0";"E-SWITCH_JS5208_0";"SW1";"Navigation Switches";"No";"https://www.e-switch.com/system/asset/product_line/data_sheet/23/JS5208.pdf";"SWITCH NAVIGATION 20MA 15V";"EG4561-ND";"yes";"";"E-Switch";"http://spec_sheets.e-switch.com/specs/P200020.pdf";"612-JS5208";"JS5208";"SW_PTH_12MM4_12MM4";"";"SW";"";"yes";"";"";"";"";"+70°C";"-20°C";"";"";
"1";"GND_A";"WIREPAD2,54/1,1";"2,54/1,1";"GND_A";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GND_CVID";"WIREPAD2,54/1,1";"2,54/1,1";"GND_CVID";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"ADAFRUIT_LEDCHIPLED_0603";"ADAFRUIT_CHIPLED_0603";"DONE";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"JS202011JCQN";"JS202011JCQN";"JS202011JCQN";"L_DIFF, ON/OFF, PAUSE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP73871";"MCP73871";"QFN20_4MM";"U2";"MCP73871 Lithium Polymer Battery Charger";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MMUN2133LT1G";"TRANSISTOR_MUN2113T1-PNP_DRIVER-SC59-BEC";"TRANSISTOR_SC59-BEC";"T5";"PNP Bias Resistor Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MOS_6507";"MOS_6507";"DIL28";"6507";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MOS_6532";"MOS_6532";"DIL40";"6532";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MicroUSB";"USBMICRO_20329";"4UCONN_20329";"CN4";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ORANGE";"ADAFRUIT_LEDCHIPLED_0603";"ADAFRUIT_CHIPLED_0603";"CHRG/LBO";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OSHWLOGOLOGO5MM";"OSHWLOGOLOGO5MM";"OSHW_5MM";"GOLD_ORB_SM1";"The OSHW logo for PCB layout";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"PN3906";"TRANSISTOR_PNPPMBT3906";"SOT23-3";"T2, T3, T4";"Generic PNP BJT";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRANS-08052";"";"";"";"";"";"";"";"PMBT3906";"";
"1";"RED";"ADAFRUIT_LEDCHIPLED_0603";"ADAFRUIT_CHIPLED_0603";"LBO";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SELECT";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"S4";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-00815";"";"COM-08229";"";"";"";"";"";"";"";
"1";"SJ-43516-SMT";"SJ-43516-SMT";"CUI_SJ-43516-SMT";"J2";"Conn 3.5MM Audio Jack F 6 POS Solder RA SMD 6 Terminal 1 Port";"";"";"";"";"";"CUI INC";"";"";"";"";"";"1.02";"";"";"";"";"";"";"MANUFACTURER RECOMMENDATIONS";"";"";"";"";
"1";"SSW-112-02-G-Q";"SSW-112-02-G-Q";"SSW-112-02-G-Q";"X1";"THROUGH-HOLE .025" SQ POST SOCKET";"";"";"";"";"";"";"Samtec Inc.";"";"";"SSW-112-02-G-Q";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"START";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"S3";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-00815";"";"COM-08229";"";"";"";"";"";"";"";
"1";"TIA";"ATARI_TIA";"DIL40";"TIA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TL3300DF260Q";"TL3300DF260Q";"TL3300DF260Q";"U$7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS61090RSAR";"VREG_TPS6103X";"PVQFN-16";"U1";"TPS6103x 4A Boost - 1.8-5.5V Input, Adjustable Output to 5.5V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
